N,P,K,temperature,humidity,ph,rainfall,label
18,115,205,24.500000,82.000000,6.100000,105.000000,pomegranate
24,120,210,25.000000,83.000000,6.200000,110.000000,pomegranate
16,100,190,23.000000,77.000000,5.800000,90.000000,pomegranate
21,112,202,24.200000,80.500000,6.020000,102.000000,pomegranate
19,108,198,23.800000,79.500000,5.980000,98.000000,pomegranate
25,125,215,25.500000,84.000000,6.300000,115.000000,pomegranate
15,98,188,22.500000,76.000000,5.700000,88.000000,pomegranate
23,118,208,24.800000,81.500000,6.080000,107.000000,pomegranate
20,58,200,22.000000,92.000000,5.800000,111.000000,banana
18,55,195,21.500000,90.000000,5.600000,108.000000,banana
22,60,205,22.500000,93.000000,6.000000,115.000000,banana
24,62,210,23.000000,94.000000,6.200000,120.000000,banana
16,52,190,21.000000,89.000000,5.400000,105.000000,banana
21,59,202,22.200000,92.500000,5.900000,112.000000,banana
19,57,198,21.800000,91.500000,5.750000,109.000000,banana
25,65,215,23.500000,95.000000,6.300000,125.000000,banana
15,50,188,20.500000,88.000000,5.300000,102.000000,banana
23,61,207,22.800000,93.500000,6.050000,117.000000,banana
16,10,34,38.500000,52.780000,5.500000,51.540000,mango
14,12,30,37.500000,51.000000,5.300000,48.000000,mango
18,8,35,39.000000,54.000000,5.700000,55.000000,mango
20,14,38,40.000000,55.000000,5.900000,60.000000,mango
12,6,28,37.000000,50.000000,5.100000,45.000000,mango
17,11,33,38.800000,53.000000,5.620000,52.000000,mango
15,9,31,38.200000,52.200000,5.480000,49.000000,mango
22,16,40,40.500000,56.000000,6.100000,65.000000,mango
10,5,25,36.500000,49.000000,5.000000,42.000000,mango
19,13,36,39.500000,54.500000,5.780000,57.000000,mango
14,22,23,25.000000,79.000000,6.500000,123.000000,grapes
12,20,20,24.500000,77.000000,6.300000,118.000000,grapes
16,24,25,25.500000,81.000000,6.700000,128.000000,grapes
18,26,28,26.000000,82.000000,6.900000,133.000000,grapes
10,18,18,24.000000,76.000000,6.100000,113.000000,grapes
15,23,24,25.200000,79.500000,6.580000,124.000000,grapes
13,21,21,24.800000,78.500000,6.420000,120.000000,grapes
20,28,30,26.500000,83.000000,7.100000,138.000000,grapes
8,16,15,23.500000,75.000000,5.900000,108.000000,grapes
17,25,26,25.800000,80.500000,6.680000,130.000000,grapes
21,0,7,39.000000,90.000000,5.800000,121.000000,watermelon
19,2,5,38.500000,88.000000,5.600000,118.000000,watermelon
23,1,8,39.500000,91.000000,6.000000,124.000000,watermelon
25,3,10,40.000000,92.000000,6.200000,130.000000,watermelon
17,0,4,38.000000,87.000000,5.400000,115.000000,watermelon
22,1,7,39.200000,90.500000,5.900000,122.000000,watermelon
20,0,6,38.800000,89.500000,5.750000,119.000000,watermelon
27,4,12,40.500000,93.000000,6.400000,136.000000,watermelon
15,0,3,37.500000,86.000000,5.300000,112.000000,watermelon
24,2,9,39.800000,91.500000,6.050000,127.000000,watermelon
17,19,19,27.000000,90.000000,5.500000,97.000000,muskmelon
15,17,17,26.500000,88.000000,5.300000,93.000000,muskmelon
19,21,21,27.500000,91.000000,5.700000,100.000000,muskmelon
21,23,23,28.000000,92.000000,5.900000,106.000000,muskmelon
13,15,15,26.000000,87.000000,5.100000,90.000000,muskmelon
18,20,20,27.200000,90.500000,5.600000,98.000000,muskmelon
16,18,18,26.800000,89.500000,5.450000,95.000000,muskmelon
23,25,25,28.500000,93.000000,6.100000,112.000000,muskmelon
11,13,13,25.500000,86.000000,5.000000,87.000000,muskmelon
20,22,22,27.800000,91.500000,5.750000,103.000000,muskmelon
22,7,30,32.000000,95.000000,6.300000,143.750000,apple
20,5,28,31.500000,93.000000,6.100000,140.000000,apple
24,9,32,32.500000,96.000000,6.500000,148.000000,apple
26,11,34,33.000000,97.000000,6.700000,155.000000,apple
18,3,26,31.000000,92.000000,5.900000,135.000000,apple
23,8,31,32.200000,95.500000,6.420000,145.000000,apple
21,6,29,31.800000,94.500000,6.280000,141.000000,apple
28,13,36,33.500000,98.000000,6.900000,162.000000,apple
16,2,24,30.500000,91.000000,5.800000,130.000000,apple
25,10,33,32.800000,96.500000,6.580000,151.000000,apple
21,17,19,28.000000,92.000000,5.800000,96.000000,orange
19,15,17,27.500000,90.000000,5.600000,92.000000,orange
23,19,21,28.500000,93.000000,6.000000,100.000000,orange
25,21,23,29.000000,94.000000,6.200000,106.000000,orange
17,13,15,27.000000,89.000000,5.400000,88.000000,orange
22,18,20,28.200000,92.500000,5.920000,98.000000,orange
20,16,18,27.800000,91.500000,5.780000,94.000000,orange
27,23,25,29.500000,95.000000,6.400000,112.000000,orange
15,11,13,26.500000,88.000000,5.200000,84.000000,orange
24,20,22,28.800000,93.500000,6.080000,103.000000,orange
19,21,16,29.000000,93.000000,5.800000,89.000000,papaya
17,19,14,28.500000,91.000000,5.600000,85.000000,papaya
21,23,18,29.500000,94.000000,6.000000,93.000000,papaya
23,25,20,30.000000,95.000000,6.200000,98.000000,papaya
15,17,12,28.000000,90.000000,5.400000,81.000000,papaya
20,22,17,29.200000,93.500000,5.920000,91.000000,papaya
18,20,15,28.800000,92.500000,5.780000,87.000000,papaya
25,27,22,30.500000,96.000000,6.400000,105.000000,papaya
13,15,10,27.500000,89.000000,5.200000,77.000000,papaya
22,24,19,29.800000,94.500000,6.080000,96.000000,papaya
15,10,26,26.000000,52.000000,6.800000,88.000000,coconut
13,8,24,25.500000,50.000000,6.600000,84.000000,coconut
17,12,28,26.500000,53.000000,7.000000,92.000000,coconut
19,14,30,27.000000,54.000000,7.200000,98.000000,coconut
11,6,22,25.000000,49.000000,6.400000,80.000000,coconut
16,11,27,26.200000,52.500000,6.920000,90.000000,coconut
14,9,25,25.800000,51.500000,6.780000,86.000000,coconut
21,16,32,27.500000,55.000000,7.400000,106.000000,coconut
9,5,20,24.500000,48.000000,6.200000,76.000000,coconut
18,13,29,26.800000,53.500000,7.080000,95.000000,coconut
36,79,15,31.000000,71.000000,5.500000,148.000000,cotton
34,77,13,30.500000,69.000000,5.300000,144.000000,cotton
38,81,17,31.500000,72.000000,5.700000,152.000000,cotton
40,83,19,32.000000,73.000000,5.900000,158.000000,cotton
32,75,11,30.000000,68.000000,5.100000,140.000000,cotton
37,80,16,31.200000,71.500000,5.620000,150.000000,cotton
35,78,14,30.800000,70.500000,5.480000,146.000000,cotton
42,85,21,32.500000,74.000000,6.100000,165.000000,cotton
30,73,9,29.500000,67.000000,5.000000,136.000000,cotton
39,82,18,31.800000,72.500000,5.780000,155.000000,cotton
37,0,0,27.000000,20.000000,7.500000,64.000000,jute
35,2,2,26.500000,19.000000,7.300000,60.000000,jute
39,1,1,27.500000,21.000000,7.700000,68.000000,jute
41,3,3,28.000000,22.000000,7.900000,74.000000,jute
33,0,0,26.000000,18.000000,7.100000,56.000000,jute
38,1,1,27.200000,20.500000,7.620000,66.000000,jute
36,0,0,26.800000,19.500000,7.480000,62.000000,jute
43,4,4,28.500000,23.000000,8.100000,80.000000,jute
31,0,0,25.500000,17.000000,6.900000,52.000000,jute
40,2,2,27.800000,21.500000,7.780000,71.000000,jute
23,67,22,21.000000,19.000000,5.500000,65.000000,coffee
21,65,20,20.500000,18.000000,5.300000,62.000000,coffee
25,69,24,21.500000,20.000000,5.700000,68.000000,coffee
27,71,26,22.000000,21.000000,5.900000,74.000000,coffee
19,63,18,20.000000,17.000000,5.100000,58.000000,coffee
24,68,23,21.200000,19.500000,5.620000,66.000000,coffee
22,66,21,20.800000,18.500000,5.480000,63.000000,coffee
29,73,28,22.500000,22.000000,6.100000,80.000000,coffee
17,61,16,19.500000,16.000000,5.000000,54.000000,coffee
26,70,25,21.800000,20.500000,5.780000,71.000000,coffee
